"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Adama Sanogo","Chi","F","22.7","1","8.8","18.5","0","0","0","4","0.5","0","0","0.5","0.5","4","1","1","0","0","0","5","5","6","7.2","119.8","104.7"
"","Quentin Grimes","Dal","G","24.5","4","11.4","16.4","11.5","2","1","7","0.286","8","0.375","0.433","0.472","3.8","1.5","0.3","0.3","0.3","0.5","5.3","4","5.5","4.2","94","103.8"
"","Cody Williams","Uta","F","19.9","4","22.6","10.2","17.8","2","1","6","0.333","12","0.25","0.361","0.397","3.8","2.8","1","0.8","0.3","1","6.5","4.8","7.5","3.9","81","114.5"
"","Patrick Baldwin Jr.","Was","F","22","3","5.4","24.7","0","0","0","7","0.571","3","0.333","0.55","0.55","3.7","1.3","0.3","0","0.3","0","5","4","5.3","8.4","116.9","111"
"","Max Christie","Lal","G","21.7","5","18.2","11","14","6","0.833","6","0.333","12","0.25","0.361","0.436","3.6","1.6","1.2","0.6","0.4","0.6","5.2","4.8","6.4","4.2","95.9","107.6"
"","Jarace Walker","Ind","F","21.2","5","8.2","20.7","32.5","4","1","6","0.667","6","0.333","0.583","0.654","3.6","1.4","0.8","1","0","1.2","5","4.4","5.8","7.8","99","96.1"
"","Bruno Fernando","Tor","F-C","26.2","4","9.6","20.7","32.5","4","1","12","0.417","0","0","0.417","0.509","3.5","4.3","0.5","0.3","0.8","1.5","7.8","4","8.3","8.2","92.7","95.2"
"","Terance Mann","Lac","G-F","28","4","21.4","12","13","3","0","14","0.5","6","0","0.35","0.328","3.5","3.3","2","0.5","0","0.8","6.8","5.5","8.8","5.3","85.4","92.5"
"","Neemias Queta","Bos","C","25.3","4","8.4","15.1","8.7","2","1","9","0.667","1","0","0.6","0.643","3.5","4","0.3","0","0.3","0.3","7.5","3.8","7.8","7.7","146.9","99.3"
"","Tyler Kolek","Nyk","G","23.6","2","4.6","33.5","55.1","4","1","1","0","1","1","0.75","0.931","3.5","0","0","0","0","1.5","3.5","3.5","3.5","0","99.8","128.1"
